date;UBS;Mike Cannon-Brookes;England women's cricket team;Los Angeles Chargers;air travel;isPartial
2022-01-02;64;0;0;1;90;False
2022-01-09;62;2;3;5;98;False
2022-01-16;64;0;1;0;77;False
2022-01-23;63;1;1;0;84;False
2022-01-30;74;0;1;0;95;False
2022-02-06;64;0;0;0;96;False
2022-02-13;56;0;0;2;96;False
2022-02-20;58;0;0;0;98;False
2022-02-27;60;0;0;0;86;False
2022-03-06;64;0;0;2;90;False
2022-03-13;66;0;0;0;90;False
2022-03-20;57;0;0;1;88;False
2022-03-27;60;0;2;0;93;False
2022-04-03;47;0;0;0;85;False
2022-04-10;45;0;1;2;74;False
2022-04-17;48;0;0;1;82;False
2022-04-24;58;0;0;0;84;False
2022-05-01;51;0;0;1;87;False
2022-05-08;57;0;0;0;89;False
2022-05-15;54;0;0;1;93;False
2022-05-22;57;1;0;0;88;False
2022-05-29;48;0;0;1;90;False
2022-06-05;52;1;0;2;100;False
2022-06-12;60;0;0;1;87;False
2022-06-19;55;0;0;2;81;False
2022-06-26;55;0;2;2;87;False
2022-07-03;55;0;0;0;92;False
2022-07-10;55;0;0;0;95;False
2022-07-17;51;0;1;0;91;False
2022-07-24;67;0;3;0;90;False
2022-07-31;50;0;4;1;81;False
2022-08-07;50;0;1;0;78;False
2022-08-14;43;0;1;1;77;False
2022-08-21;49;0;2;0;67;False
2022-08-28;52;0;0;1;74;False
2022-09-04;72;0;2;1;80;False
2022-09-11;67;0;1;6;69;False
2022-09-18;64;0;1;2;66;False
2022-09-25;68;1;1;2;68;False
2022-10-02;82;0;0;2;65;False
2022-10-09;62;0;1;2;63;False
2022-10-16;76;0;1;3;57;False
2022-10-23;73;0;1;1;53;False
2022-10-30;68;0;0;1;53;False
2022-11-06;77;0;2;1;59;False
2022-11-13;69;0;0;1;50;False
2022-11-20;61;0;2;4;62;False
2022-11-27;73;0;0;1;61;False
2022-12-04;54;0;0;0;52;False
2022-12-11;53;0;0;0;53;False
2022-12-18;47;0;0;9;50;False
2022-12-25;27;0;0;3;66;False
2023-01-01;49;0;0;1;77;False
2023-01-08;54;0;0;0;71;False
2023-01-15;71;0;0;3;69;False
2023-01-22;63;0;0;0;64;False
2023-01-29;71;1;2;1;69;False
