date;War crimes;archbishop of canterbury;Brian May;World records;air travel;isPartial
2022-01-02;5;2;12;11;27;False
2022-01-09;5;3;12;10;29;False
2022-01-16;5;2;11;12;23;False
2022-01-23;3;3;8;11;25;False
2022-01-30;4;5;9;12;28;False
2022-02-06;3;2;11;11;28;False
2022-02-13;4;3;21;10;28;False
2022-02-20;16;4;22;9;29;False
2022-02-27;53;4;8;10;25;False
2022-03-06;21;4;6;8;27;False
2022-03-13;15;3;7;8;27;False
2022-03-20;12;5;12;11;26;False
2022-03-27;12;3;12;9;28;False
2022-04-03;37;4;11;9;25;False
2022-04-10;11;4;11;10;22;False
2022-04-17;7;13;13;11;24;False
2022-04-24;7;6;12;10;25;False
2022-05-01;7;3;10;10;26;False
2022-05-08;9;3;10;10;27;False
2022-05-15;8;2;12;11;28;False
2022-05-22;7;3;13;10;26;False
2022-05-29;4;14;100;9;27;False
2022-06-05;4;5;70;10;30;False
2022-06-12;4;8;35;10;26;False
2022-06-19;3;2;36;10;24;False
2022-06-26;5;1;21;10;26;False
2022-07-03;4;6;15;10;27;False
2022-07-10;6;2;15;10;28;False
2022-07-17;3;1;21;16;27;False
2022-07-24;5;2;22;14;27;False
2022-07-31;4;6;13;16;24;False
2022-08-07;4;3;12;13;23;False
2022-08-14;3;1;11;12;23;False
2022-08-21;3;2;13;10;20;False
2022-08-28;3;2;19;10;22;False
2022-09-04;4;21;16;9;24;False
2022-09-11;6;14;11;10;21;False
2022-09-18;7;47;9;9;20;False
2022-09-25;4;2;9;8;20;False
2022-10-02;4;2;8;10;19;False
2022-10-09;4;2;8;9;19;False
2022-10-16;4;3;8;9;17;False
2022-10-23;4;3;13;10;16;False
2022-10-30;4;1;15;10;16;False
2022-11-06;5;3;8;12;18;False
2022-11-13;6;3;9;12;15;False
2022-11-20;5;3;8;15;18;False
2022-11-27;4;3;8;15;18;False
2022-12-04;5;3;9;14;15;False
2022-12-11;4;4;10;12;16;False
2022-12-18;5;5;14;13;15;False
2022-12-25;4;4;40;10;19;False
2023-01-01;5;5;31;10;23;False
2023-01-08;5;3;19;9;21;False
2023-01-15;4;3;12;8;20;False
2023-01-22;5;3;11;11;19;False
2023-01-29;4;4;18;15;20;False
