date;Delhi;Sam Kerr;The Last of Us;IBM;air travel;isPartial
2022-01-02;5;0;3;3;2;False
2022-01-09;5;0;2;3;3;False
2022-01-16;5;0;2;3;2;False
2022-01-23;5;0;2;4;2;False
2022-01-30;6;0;2;4;3;False
2022-02-06;5;0;2;3;3;False
2022-02-13;6;0;2;3;3;False
2022-02-20;6;0;2;3;3;False
2022-02-27;6;0;2;3;2;False
2022-03-06;6;0;2;3;3;False
2022-03-13;6;0;2;3;2;False
2022-03-20;7;0;2;3;2;False
2022-03-27;6;0;2;3;3;False
2022-04-03;6;0;2;3;2;False
2022-04-10;6;0;2;3;2;False
2022-04-17;6;0;2;3;2;False
2022-04-24;6;0;2;3;2;False
2022-05-01;6;0;2;3;2;False
2022-05-08;6;1;2;3;2;False
2022-05-15;7;1;2;3;3;False
2022-05-22;6;0;2;3;2;False
2022-05-29;6;0;2;3;2;False
2022-06-05;6;0;4;3;3;False
2022-06-12;6;0;3;3;2;False
2022-06-19;6;0;2;3;2;False
2022-06-26;6;0;2;3;2;False
2022-07-03;6;0;2;3;3;False
2022-07-10;6;0;2;3;3;False
2022-07-17;7;1;2;3;3;False
2022-07-24;7;1;2;3;3;False
2022-07-31;6;1;2;3;2;False
2022-08-07;7;1;2;3;2;False
2022-08-14;6;0;2;3;2;False
2022-08-21;7;0;5;3;2;False
2022-08-28;7;0;6;2;2;False
2022-09-04;7;0;5;3;2;False
2022-09-11;7;0;3;3;2;False
2022-09-18;7;0;3;3;2;False
2022-09-25;6;1;6;3;2;False
2022-10-02;7;1;3;3;2;False
2022-10-09;6;0;3;3;2;False
2022-10-16;6;0;2;3;2;False
2022-10-23;6;0;2;3;1;False
2022-10-30;7;0;3;3;1;False
2022-11-06;7;0;2;3;2;False
2022-11-13;7;0;2;3;1;False
2022-11-20;6;0;2;3;2;False
2022-11-27;6;0;3;3;2;False
2022-12-04;7;0;5;3;1;False
2022-12-11;6;0;4;3;1;False
2022-12-18;7;0;4;2;1;False
2022-12-25;8;0;7;1;2;False
2023-01-01;8;0;10;2;2;False
2023-01-08;8;0;23;3;2;False
2023-01-15;7;0;100;3;2;False
2023-01-22;8;0;75;3;2;False
2023-01-29;7;0;78;3;2;False
