date;Anthropology;Rina Sawayama;Sizewell C;Cardiff City;air travel;isPartial
2022-01-02;11;1;0;37;16;False
2022-01-09;13;0;1;51;18;False
2022-01-16;11;1;1;44;14;False
2022-01-23;12;1;1;42;15;False
2022-01-30;10;1;1;71;17;False
2022-02-06;10;2;1;82;17;False
2022-02-13;10;1;1;52;17;False
2022-02-20;10;0;1;48;18;False
2022-02-27;10;1;1;44;16;False
2022-03-06;9;1;1;39;16;False
2022-03-13;12;1;1;38;16;False
2022-03-20;11;1;1;34;16;False
2022-03-27;10;1;2;44;17;False
2022-04-03;9;1;1;36;15;False
2022-04-10;9;1;1;38;13;False
2022-04-17;9;2;0;42;15;False
2022-04-24;10;1;1;44;15;False
2022-05-01;9;1;1;41;16;False
2022-05-08;12;1;1;30;16;False
2022-05-15;10;4;1;36;17;False
2022-05-22;8;4;0;36;16;False
2022-05-29;8;3;1;35;16;False
2022-06-05;9;2;0;45;18;False
2022-06-12;8;3;0;34;16;False
2022-06-19;9;3;1;43;15;False
2022-06-26;9;4;1;34;16;False
2022-07-03;10;3;1;40;17;False
2022-07-10;10;2;2;43;17;False
2022-07-17;8;2;6;42;16;False
2022-07-24;8;3;2;60;16;False
2022-07-31;6;3;1;54;15;False
2022-08-07;8;2;1;64;14;False
2022-08-14;8;2;1;51;14;False
2022-08-21;8;3;3;58;12;False
2022-08-28;8;3;7;63;13;False
2022-09-04;9;3;3;37;15;False
2022-09-11;12;7;1;51;13;False
2022-09-18;10;8;1;44;12;False
2022-09-25;12;6;1;45;12;False
2022-10-02;13;5;1;51;12;False
2022-10-09;13;5;1;43;11;False
2022-10-16;13;12;1;39;10;False
2022-10-23;11;9;1;52;10;False
2022-10-30;12;19;3;51;10;False
2022-11-06;12;2;2;52;11;False
2022-11-13;13;2;8;27;9;False
2022-11-20;12;1;1;22;11;False
2022-11-27;11;2;4;29;11;False
2022-12-04;10;1;1;28;9;False
2022-12-11;9;10;2;34;10;False
2022-12-18;9;5;1;27;9;False
2022-12-25;9;2;0;49;12;False
2023-01-01;10;2;1;48;14;False
2023-01-08;11;2;1;92;13;False
2023-01-15;11;2;1;100;13;False
2023-01-22;11;2;1;49;12;False
2023-01-29;10;2;1;64;12;False
