date;Love & Friendship;Richard Nixon;A-League Women;Indigenous Australians;air travel;isPartial
2022-01-02;0;9;0;2;90;False
2022-01-09;0;7;0;0;98;False
2022-01-16;2;10;0;2;77;False
2022-01-23;0;8;0;0;84;False
2022-01-30;0;10;0;2;95;False
2022-02-06;0;8;0;0;96;False
2022-02-13;0;5;0;0;96;False
2022-02-20;0;5;0;0;98;False
2022-02-27;1;8;0;0;86;False
2022-03-06;0;8;0;0;90;False
2022-03-13;0;9;0;0;90;False
2022-03-20;0;9;0;1;88;False
2022-03-27;0;14;0;1;93;False
2022-04-03;0;8;0;1;85;False
2022-04-10;0;11;0;2;74;False
2022-04-17;0;14;0;1;82;False
2022-04-24;2;10;0;0;84;False
2022-05-01;0;9;0;1;87;False
2022-05-08;0;10;0;1;89;False
2022-05-15;0;13;0;0;93;False
2022-05-22;0;9;0;2;88;False
2022-05-29;0;8;0;0;90;False
2022-06-05;0;9;0;0;100;False
2022-06-12;1;12;0;2;87;False
2022-06-19;1;7;0;0;81;False
2022-06-26;0;7;0;0;87;False
2022-07-03;0;7;0;0;92;False
2022-07-10;2;10;0;4;95;False
2022-07-17;0;9;0;0;91;False
2022-07-24;1;8;0;0;90;False
2022-07-31;0;6;0;3;81;False
2022-08-07;0;8;0;0;78;False
2022-08-14;0;9;0;1;77;False
2022-08-21;0;6;0;2;67;False
2022-08-28;0;6;0;1;74;False
2022-09-04;0;8;0;0;80;False
2022-09-11;0;11;0;0;69;False
2022-09-18;1;7;0;1;66;False
2022-09-25;1;6;0;1;68;False
2022-10-02;0;7;0;0;65;False
2022-10-09;0;9;0;0;63;False
2022-10-16;0;8;0;1;57;False
2022-10-23;1;5;0;2;53;False
2022-10-30;0;8;0;1;53;False
2022-11-06;1;9;0;0;59;False
2022-11-13;1;8;0;1;50;False
2022-11-20;0;7;0;0;62;False
2022-11-27;0;6;0;0;61;False
2022-12-04;0;5;0;1;52;False
2022-12-11;0;6;0;1;53;False
2022-12-18;0;6;0;0;50;False
2022-12-25;0;5;0;1;66;False
2023-01-01;1;9;0;2;77;False
2023-01-08;0;8;0;0;71;False
2023-01-15;0;7;0;2;69;False
2023-01-22;0;9;0;1;64;False
2023-01-29;0;10;0;0;69;False
