date;Panama Papers;Outkast;School building programme;sharon osbourne;air travel;isPartial
2022-01-02;3;6;1;10;62;False
2022-01-09;3;8;0;8;68;False
2022-01-16;2;8;1;8;53;False
2022-01-23;4;9;1;5;59;False
2022-01-30;3;9;0;10;66;False
2022-02-06;3;8;1;9;67;False
2022-02-13;2;11;0;6;67;False
2022-02-20;2;12;0;8;68;False
2022-02-27;4;10;0;7;60;False
2022-03-06;6;16;0;8;63;False
2022-03-13;5;9;0;13;62;False
2022-03-20;4;9;0;8;61;False
2022-03-27;4;10;0;9;65;False
2022-04-03;2;8;0;7;59;False
2022-04-10;4;8;0;9;51;False
2022-04-17;3;9;0;16;57;False
2022-04-24;4;10;1;97;59;False
2022-05-01;2;8;0;32;60;False
2022-05-08;2;9;0;21;62;False
2022-05-15;2;9;0;14;65;False
2022-05-22;3;10;0;10;61;False
2022-05-29;1;10;0;15;62;False
2022-06-05;1;10;1;40;70;False
2022-06-12;2;8;0;11;61;False
2022-06-19;1;9;1;10;56;False
2022-06-26;2;10;0;9;61;False
2022-07-03;2;9;0;10;64;False
2022-07-10;2;8;1;8;66;False
2022-07-17;2;7;0;11;63;False
2022-07-24;3;9;0;17;62;False
2022-07-31;4;9;0;11;56;False
2022-08-07;2;8;0;41;55;False
2022-08-14;2;8;0;10;54;False
2022-08-21;1;11;1;10;47;False
2022-08-28;3;10;0;22;51;False
2022-09-04;2;9;0;21;55;False
2022-09-11;4;9;0;38;48;False
2022-09-18;2;8;0;23;46;False
2022-09-25;2;9;1;23;47;False
2022-10-02;0;9;0;32;45;False
2022-10-09;2;7;0;16;43;False
2022-10-16;1;9;0;13;40;False
2022-10-23;2;7;1;13;37;False
2022-10-30;2;10;0;7;37;False
2022-11-06;2;7;0;11;41;False
2022-11-13;2;7;0;9;35;False
2022-11-20;2;7;0;8;43;False
2022-11-27;0;8;0;7;42;False
2022-12-04;3;7;0;50;36;False
2022-12-11;2;8;0;71;37;False
2022-12-18;3;9;0;98;35;False
2022-12-25;1;12;0;20;46;False
2023-01-01;3;12;0;22;53;False
2023-01-08;2;8;0;100;49;False
2023-01-15;3;7;0;19;48;False
2023-01-22;3;10;1;14;44;False
2023-01-29;3;10;0;19;48;False
