date;Healthcare industry;Microbiology;Arsenal Women;Wayne Couzens;air travel;isPartial
2022-01-02;1;25;9;7;69;False
2022-01-09;2;26;27;9;76;False
2022-01-16;3;30;28;8;59;False
2022-01-23;3;30;36;8;65;False
2022-01-30;2;25;23;10;74;False
2022-02-06;4;32;29;16;74;False
2022-02-13;3;23;10;13;74;False
2022-02-20;3;30;12;12;76;False
2022-02-27;3;29;21;16;66;False
2022-03-06;2;30;18;6;70;False
2022-03-13;3;30;29;31;69;False
2022-03-20;2;21;35;23;68;False
2022-03-27;3;27;30;6;72;False
2022-04-03;2;23;19;5;66;False
2022-04-10;2;19;14;16;57;False
2022-04-17;3;23;30;5;63;False
2022-04-24;3;23;20;6;65;False
2022-05-01;2;25;49;20;67;False
2022-05-08;3;27;30;6;69;False
2022-05-15;2;24;10;2;72;False
2022-05-22;2;23;6;10;68;False
2022-05-29;2;16;6;5;69;False
2022-06-05;1;22;4;6;77;False
2022-06-12;2;23;7;6;67;False
2022-06-19;2;27;7;4;63;False
2022-06-26;2;19;5;8;67;False
2022-07-03;2;21;14;3;71;False
2022-07-10;0;22;14;5;74;False
2022-07-17;0;22;17;5;70;False
2022-07-24;1;17;23;32;69;False
2022-07-31;1;18;62;9;62;False
2022-08-07;3;20;22;7;61;False
2022-08-14;3;19;20;9;59;False
2022-08-21;0;17;21;10;52;False
2022-08-28;2;18;21;14;57;False
2022-09-04;1;23;29;6;62;False
2022-09-11;4;21;39;11;54;False
2022-09-18;3;23;100;14;51;False
2022-09-25;4;28;54;5;53;False
2022-10-02;1;25;23;8;50;False
2022-10-09;4;27;22;6;48;False
2022-10-16;1;28;59;9;44;False
2022-10-23;2;26;52;7;41;False
2022-10-30;3;26;46;14;41;False
2022-11-06;1;26;31;4;46;False
2022-11-13;0;27;53;6;38;False
2022-11-20;3;26;33;5;48;False
2022-11-27;2;24;28;4;47;False
2022-12-04;2;26;33;4;40;False
2022-12-11;4;23;51;5;41;False
2022-12-18;2;17;32;5;38;False
2022-12-25;1;13;20;4;51;False
2023-01-01;1;23;24;4;59;False
2023-01-08;3;26;30;2;55;False
2023-01-15;4;24;69;21;53;False
2023-01-22;2;30;57;7;49;False
2023-01-29;3;35;47;9;53;False
