date;gary lineker;College sports;The Batman;Kansas City Chiefs;air travel;isPartial
2022-01-02;4;1;6;1;3;False
2022-01-09;3;1;7;1;3;False
2022-01-16;3;1;9;1;3;False
2022-01-23;3;1;9;2;3;False
2022-01-30;2;1;10;2;3;False
2022-02-06;2;1;11;0;3;False
2022-02-13;1;1;12;0;3;False
2022-02-20;2;1;23;0;3;False
2022-02-27;2;1;96;0;3;False
2022-03-06;2;1;100;0;3;False
2022-03-13;2;1;50;0;3;False
2022-03-20;1;1;36;0;3;False
2022-03-27;2;1;24;0;3;False
2022-04-03;2;1;21;0;3;False
2022-04-10;2;1;22;0;2;False
2022-04-17;2;1;35;0;3;False
2022-04-24;2;1;21;0;3;False
2022-05-01;5;1;16;0;3;False
2022-05-08;3;1;10;0;3;False
2022-05-15;2;1;9;0;3;False
2022-05-22;2;1;8;0;3;False
2022-05-29;2;1;9;0;3;False
2022-06-05;2;1;7;0;3;False
2022-06-12;2;1;8;0;3;False
2022-06-19;8;1;7;0;3;False
2022-06-26;3;1;6;0;3;False
2022-07-03;2;1;6;0;3;False
2022-07-10;2;1;5;0;3;False
2022-07-17;1;1;6;0;3;False
2022-07-24;2;1;7;0;3;False
2022-07-31;5;1;6;0;3;False
2022-08-07;2;1;7;0;3;False
2022-08-14;2;1;5;0;3;False
2022-08-21;1;1;6;0;2;False
2022-08-28;2;1;5;0;2;False
2022-09-04;3;2;5;0;3;False
2022-09-11;1;2;5;1;2;False
2022-09-18;2;2;5;0;2;False
2022-09-25;2;1;5;0;2;False
2022-10-02;2;1;4;0;2;False
2022-10-09;4;1;4;1;2;False
2022-10-16;2;1;6;1;2;False
2022-10-23;1;1;6;1;2;False
2022-10-30;2;1;6;0;2;False
2022-11-06;1;1;5;0;2;False
2022-11-13;2;1;6;0;2;False
2022-11-20;9;1;4;1;2;False
2022-11-27;13;1;9;0;2;False
2022-12-04;7;1;10;0;2;False
2022-12-11;4;1;9;0;2;False
2022-12-18;7;0;9;1;2;False
2022-12-25;3;1;9;0;2;False
2023-01-01;1;1;7;1;3;False
2023-01-08;2;1;6;0;2;False
2023-01-15;11;1;6;1;2;False
2023-01-22;2;1;5;1;2;False
2023-01-29;2;1;5;2;2;False
