date;Malcolm Turnbull;Glasgow;Japan;Aidan Turner;air travel;isPartial
2022-01-02;0;79;11;0;1;False
2022-01-09;0;73;10;0;1;False
2022-01-16;0;78;11;0;1;False
2022-01-23;0;82;12;0;1;False
2022-01-30;0;89;12;0;1;False
2022-02-06;0;79;11;0;1;False
2022-02-13;0;87;11;0;1;False
2022-02-20;0;88;13;0;1;False
2022-02-27;0;83;12;0;1;False
2022-03-06;0;88;12;0;1;False
2022-03-13;0;82;13;0;1;False
2022-03-20;0;88;12;0;1;False
2022-03-27;0;77;11;0;1;False
2022-04-03;0;88;11;0;1;False
2022-04-10;0;87;11;0;1;False
2022-04-17;0;86;12;0;1;False
2022-04-24;0;84;11;0;1;False
2022-05-01;0;87;12;0;1;False
2022-05-08;0;86;11;0;1;False
2022-05-15;0;87;11;0;1;False
2022-05-22;0;88;11;0;1;False
2022-05-29;0;96;11;0;1;False
2022-06-05;0;88;13;0;1;False
2022-06-12;0;94;11;0;1;False
2022-06-19;0;87;11;0;1;False
2022-06-26;0;93;10;0;1;False
2022-07-03;0;88;17;0;1;False
2022-07-10;0;96;12;0;1;False
2022-07-17;0;96;12;0;1;False
2022-07-24;0;89;12;0;1;False
2022-07-31;0;100;11;0;1;False
2022-08-07;0;94;12;0;1;False
2022-08-14;0;87;10;0;1;False
2022-08-21;0;91;12;0;1;False
2022-08-28;0;87;12;1;1;False
2022-09-04;0;86;11;1;1;False
2022-09-11;0;92;11;1;1;False
2022-09-18;0;83;16;0;1;False
2022-09-25;0;86;12;0;1;False
2022-10-02;0;87;15;0;1;False
2022-10-09;0;88;13;0;1;False
2022-10-16;0;80;11;0;1;False
2022-10-23;0;87;12;0;1;False
2022-10-30;0;77;12;0;1;False
2022-11-06;0;88;19;0;1;False
2022-11-13;0;78;15;0;1;False
2022-11-20;0;75;41;0;1;False
2022-11-27;0;79;48;0;1;False
2022-12-04;0;80;34;0;1;False
2022-12-11;0;87;12;0;1;False
2022-12-18;0;75;13;0;1;False
2022-12-25;0;76;13;0;1;False
2023-01-01;0;76;14;0;1;False
2023-01-08;0;77;13;0;1;False
2023-01-15;0;80;13;0;1;False
2023-01-22;0;88;14;0;1;False
2023-01-29;0;86;13;0;1;False
