date;Danny DeVito;Australian film;Ryanair;Extra;air travel;isPartial
2022-01-02;2;0;55;67;3;False
2022-01-09;2;0;53;57;4;False
2022-01-16;2;1;50;56;3;False
2022-01-23;2;1;57;56;3;False
2022-01-30;2;0;69;60;4;False
2022-02-06;2;0;66;52;4;False
2022-02-13;2;0;72;52;4;False
2022-02-20;2;0;73;52;4;False
2022-02-27;2;0;65;55;3;False
2022-03-06;2;0;73;53;3;False
2022-03-13;2;0;71;53;3;False
2022-03-20;2;0;88;53;3;False
2022-03-27;2;0;81;47;4;False
2022-04-03;1;0;87;48;3;False
2022-04-10;2;0;79;55;3;False
2022-04-17;2;0;80;56;3;False
2022-04-24;2;0;81;53;3;False
2022-05-01;2;0;89;58;3;False
2022-05-08;1;0;86;55;3;False
2022-05-15;2;0;88;55;4;False
2022-05-22;1;0;79;62;3;False
2022-05-29;2;0;84;59;3;False
2022-06-05;1;0;88;60;4;False
2022-06-12;2;0;90;57;3;False
2022-06-19;2;0;94;57;3;False
2022-06-26;1;0;94;54;3;False
2022-07-03;1;0;100;58;3;False
2022-07-10;2;0;96;66;4;False
2022-07-17;1;0;86;49;3;False
2022-07-24;2;0;89;55;3;False
2022-07-31;1;0;82;62;3;False
2022-08-07;2;0;82;53;3;False
2022-08-14;1;0;69;54;3;False
2022-08-21;2;0;75;58;3;False
2022-08-28;2;0;72;59;3;False
2022-09-04;2;0;71;57;3;False
2022-09-11;2;0;76;60;3;False
2022-09-18;1;0;65;62;2;False
2022-09-25;1;0;65;60;3;False
2022-10-02;1;0;65;58;2;False
2022-10-09;1;0;63;57;2;False
2022-10-16;2;0;66;53;2;False
2022-10-23;2;0;53;60;2;False
2022-10-30;2;0;56;63;2;False
2022-11-06;2;0;58;69;2;False
2022-11-13;3;0;50;60;2;False
2022-11-20;2;0;50;58;2;False
2022-11-27;2;0;47;58;2;False
2022-12-04;3;0;44;62;2;False
2022-12-11;3;0;53;55;2;False
2022-12-18;6;0;52;66;2;False
2022-12-25;4;0;58;67;2;False
2023-01-01;2;0;78;62;3;False
2023-01-08;2;0;77;54;3;False
2023-01-15;2;0;70;53;3;False
2023-01-22;2;0;75;58;2;False
2023-01-29;2;0;70;54;3;False
