date;Access to green space;Othello;andy murray;xbox;air travel;isPartial
2022-01-02;0;1;2;65;1;False
2022-01-09;0;1;13;55;2;False
2022-01-16;0;1;11;53;1;False
2022-01-23;0;1;2;54;1;False
2022-01-30;0;2;2;56;2;False
2022-02-06;0;1;3;47;2;False
2022-02-13;0;1;3;51;2;False
2022-02-20;0;1;3;57;2;False
2022-02-27;0;1;1;49;1;False
2022-03-06;0;1;3;46;1;False
2022-03-13;0;1;3;46;1;False
2022-03-20;0;1;3;39;1;False
2022-03-27;0;1;1;43;2;False
2022-04-03;0;1;1;46;1;False
2022-04-10;0;1;1;44;1;False
2022-04-17;0;1;1;42;1;False
2022-04-24;0;1;1;37;1;False
2022-05-01;0;1;6;48;1;False
2022-05-08;0;1;1;38;1;False
2022-05-15;0;1;1;38;2;False
2022-05-22;0;1;2;38;1;False
2022-05-29;0;1;7;45;1;False
2022-06-05;0;2;8;45;2;False
2022-06-12;0;1;9;45;1;False
2022-06-19;0;1;2;46;1;False
2022-06-26;0;1;59;44;1;False
2022-07-03;0;1;6;39;1;False
2022-07-10;0;0;8;42;2;False
2022-07-17;0;0;2;44;1;False
2022-07-24;0;1;2;46;1;False
2022-07-31;0;0;3;43;1;False
2022-08-07;0;0;3;44;1;False
2022-08-14;0;0;4;40;1;False
2022-08-21;0;0;1;46;1;False
2022-08-28;0;1;12;47;1;False
2022-09-04;0;1;1;43;1;False
2022-09-11;0;1;2;46;1;False
2022-09-18;0;1;3;58;1;False
2022-09-25;0;1;1;60;1;False
2022-10-02;0;1;1;55;1;False
2022-10-09;0;1;4;45;1;False
2022-10-16;0;1;2;48;1;False
2022-10-23;0;1;3;55;1;False
2022-10-30;0;1;2;51;1;False
2022-11-06;0;1;1;53;1;False
2022-11-13;0;1;1;59;1;False
2022-11-20;0;1;1;64;1;False
2022-11-27;0;1;0;59;1;False
2022-12-04;0;1;0;52;1;False
2022-12-11;0;1;1;58;1;False
2022-12-18;0;1;1;70;1;False
2022-12-25;0;1;2;100;1;False
2023-01-01;0;1;2;58;1;False
2023-01-08;0;1;1;49;1;False
2023-01-15;0;1;34;45;1;False
2023-01-22;0;1;4;49;1;False
2023-01-29;0;1;1;49;1;False
