date;Cop28;housing;Azerbaijan;Berlin film festival;air travel;isPartial
2022-01-02;0;74;1;0;3;False
2022-01-09;0;84;2;0;4;False
2022-01-16;0;82;1;0;3;False
2022-01-23;0;83;2;0;3;False
2022-01-30;0;89;2;0;4;False
2022-02-06;0;80;1;0;4;False
2022-02-13;0;81;1;0;4;False
2022-02-20;0;86;3;0;4;False
2022-02-27;0;85;3;0;3;False
2022-03-06;0;90;2;0;3;False
2022-03-13;0;91;2;0;3;False
2022-03-20;0;84;3;0;3;False
2022-03-27;0;86;3;0;3;False
2022-04-03;0;79;2;0;3;False
2022-04-10;0;73;2;0;3;False
2022-04-17;0;73;2;0;3;False
2022-04-24;0;80;2;0;3;False
2022-05-01;0;85;2;0;3;False
2022-05-08;0;88;8;0;3;False
2022-05-15;0;83;5;0;3;False
2022-05-22;0;80;2;0;3;False
2022-05-29;0;68;3;0;3;False
2022-06-05;0;100;13;0;4;False
2022-06-12;0;82;15;0;3;False
2022-06-19;0;82;2;0;3;False
2022-06-26;0;86;2;0;3;False
2022-07-03;0;83;2;0;3;False
2022-07-10;0;82;2;0;4;False
2022-07-17;0;75;2;0;3;False
2022-07-24;0;83;2;0;3;False
2022-07-31;0;81;3;0;3;False
2022-08-07;0;80;3;0;3;False
2022-08-14;0;78;2;0;3;False
2022-08-21;0;84;2;0;3;False
2022-08-28;0;80;2;0;3;False
2022-09-04;0;80;2;0;3;False
2022-09-11;0;80;6;0;3;False
2022-09-18;0;72;3;0;2;False
2022-09-25;0;85;2;0;3;False
2022-10-02;0;81;2;0;2;False
2022-10-09;0;81;2;0;2;False
2022-10-16;0;81;2;0;2;False
2022-10-23;0;80;2;0;2;False
2022-10-30;0;80;2;0;2;False
2022-11-06;0;80;2;0;2;False
2022-11-13;0;83;2;0;2;False
2022-11-20;0;73;2;0;2;False
2022-11-27;0;75;2;0;2;False
2022-12-04;0;69;2;0;2;False
2022-12-11;0;73;2;0;2;False
2022-12-18;0;62;2;0;2;False
2022-12-25;0;51;2;0;2;False
2023-01-01;0;70;2;0;3;False
2023-01-08;0;84;2;0;3;False
2023-01-15;0;82;2;0;3;False
2023-01-22;0;90;2;0;2;False
2023-01-29;0;88;2;0;3;False
