date;Vogue;Alan Parker;Armani ;Chris Heaton-Harris;air travel;isPartial
2022-01-02;39;1;57;0;13;False
2022-01-09;44;0;50;0;15;False
2022-01-16;43;0;48;0;12;False
2022-01-23;43;1;50;0;13;False
2022-01-30;44;0;53;0;14;False
2022-02-06;42;0;52;1;14;False
2022-02-13;39;1;45;0;14;False
2022-02-20;46;1;46;0;15;False
2022-02-27;41;0;48;0;13;False
2022-03-06;39;0;45;0;14;False
2022-03-13;44;1;49;0;13;False
2022-03-20;41;0;50;0;13;False
2022-03-27;39;0;45;0;14;False
2022-04-03;40;0;43;0;13;False
2022-04-10;47;0;46;0;11;False
2022-04-17;42;0;45;0;12;False
2022-04-24;42;0;48;0;13;False
2022-05-01;57;0;49;0;13;False
2022-05-08;46;0;44;1;13;False
2022-05-15;48;1;47;0;14;False
2022-05-22;46;0;47;0;13;False
2022-05-29;40;0;48;0;14;False
2022-06-05;40;1;51;0;15;False
2022-06-12;38;1;52;0;13;False
2022-06-19;38;0;51;0;12;False
2022-06-26;36;1;51;0;13;False
2022-07-03;36;0;50;1;14;False
2022-07-10;38;0;48;0;14;False
2022-07-17;38;0;46;0;14;False
2022-07-24;45;0;49;0;14;False
2022-07-31;38;0;50;0;12;False
2022-08-07;44;0;47;0;12;False
2022-08-14;48;0;46;0;12;False
2022-08-21;44;1;47;0;10;False
2022-08-28;43;0;48;0;11;False
2022-09-04;43;0;47;1;12;False
2022-09-11;49;1;53;0;10;False
2022-09-18;43;0;52;0;10;False
2022-09-25;43;1;52;0;10;False
2022-10-02;43;0;51;0;10;False
2022-10-09;43;0;51;0;9;False
2022-10-16;38;0;51;0;9;False
2022-10-23;36;0;59;0;8;False
2022-10-30;35;0;53;0;8;False
2022-11-06;37;0;65;0;9;False
2022-11-13;38;0;81;0;7;False
2022-11-20;33;0;98;0;9;False
2022-11-27;34;0;100;0;9;False
2022-12-04;35;0;91;0;8;False
2022-12-11;32;1;93;0;8;False
2022-12-18;31;0;90;0;7;False
2022-12-25;30;0;90;0;10;False
2023-01-01;33;0;51;0;12;False
2023-01-08;37;0;46;0;11;False
2023-01-15;40;0;45;0;10;False
2023-01-22;39;0;48;0;10;False
2023-01-29;39;1;48;0;10;False
