date;romania;lottery;United States;Golden Globes;air travel;isPartial
2023-01-01;6;97;2;0;1;False
2023-01-02;6;37;1;0;1;False
2023-01-03;5;39;1;0;1;False
2023-01-04;5;64;1;0;1;False
2023-01-05;5;46;2;0;1;False
2023-01-06;5;47;1;0;1;False
2023-01-07;5;87;1;1;1;False
2023-01-08;5;64;2;0;1;False
2023-01-09;5;26;2;1;0;False
2023-01-10;5;40;2;3;1;False
2023-01-11;5;63;1;35;1;False
2023-01-12;5;52;2;10;1;False
2023-01-13;6;46;1;14;1;False
2023-01-14;5;93;2;5;1;False
2023-01-15;6;60;2;3;1;False
2023-01-16;5;25;2;3;1;False
2023-01-17;5;32;1;2;1;False
2023-01-18;5;66;2;1;1;False
2023-01-19;5;51;2;1;1;False
2023-01-20;5;41;2;1;1;False
2023-01-21;5;97;1;1;1;False
2023-01-22;6;61;1;1;1;False
2023-01-23;5;26;2;1;1;False
2023-01-24;5;36;2;1;1;False
2023-01-25;5;68;2;1;1;False
2023-01-26;5;51;1;1;1;False
2023-01-27;5;45;2;0;0;False
2023-01-28;5;100;1;0;1;False
2023-01-29;5;68;1;0;1;False
2023-01-30;5;28;2;0;1;False
2023-01-31;5;39;2;0;1;False
