date;Weapons technology;Tesco;Civil service;Lana Del Rey;air travel;isPartial
2023-01-01;0;100;1;1;0;False
2023-01-02;0;79;1;0;0;False
2023-01-03;0;41;2;0;0;False
2023-01-04;0;38;2;0;0;False
2023-01-05;0;37;2;0;0;False
2023-01-06;0;38;2;0;0;False
2023-01-07;0;38;1;1;0;False
2023-01-08;0;43;1;0;0;False
2023-01-09;0;35;2;0;0;False
2023-01-10;0;35;2;0;0;False
2023-01-11;0;37;2;0;0;False
2023-01-12;0;37;2;0;0;False
2023-01-13;0;35;2;0;0;False
2023-01-14;0;38;1;1;0;False
2023-01-15;0;41;1;1;0;False
2023-01-16;0;35;2;1;0;False
2023-01-17;0;34;2;0;0;False
2023-01-18;0;35;2;1;0;False
2023-01-19;0;34;2;0;0;False
2023-01-20;0;38;2;1;0;False
2023-01-21;0;41;1;1;0;False
2023-01-22;0;43;1;1;0;False
2023-01-23;0;38;2;1;0;False
2023-01-24;0;35;2;0;0;False
2023-01-25;0;34;2;0;0;False
2023-01-26;0;37;2;1;0;False
2023-01-27;0;39;2;0;0;False
2023-01-28;0;40;1;0;0;False
2023-01-29;0;44;1;0;0;False
2023-01-30;0;37;2;1;0;False
2023-01-31;0;40;2;0;0;False
