date;Thai food and drink;Period drama (TV);Venezuela;lancashire;air travel;isPartial
2023-01-01;0;0;7;85;6;False
2023-01-02;0;1;5;79;7;False
2023-01-03;0;1;6;70;5;False
2023-01-04;0;1;4;65;7;False
2023-01-05;0;0;4;61;6;False
2023-01-06;0;0;4;59;6;False
2023-01-07;0;1;4;54;4;False
2023-01-08;0;0;5;82;7;False
2023-01-09;0;0;5;80;4;False
2023-01-10;0;1;6;77;6;False
2023-01-11;0;0;4;65;7;False
2023-01-12;0;0;6;69;6;False
2023-01-13;0;0;5;66;5;False
2023-01-14;0;0;5;53;4;False
2023-01-15;0;1;9;83;5;False
2023-01-16;0;0;4;80;5;False
2023-01-17;0;0;8;75;4;False
2023-01-18;0;0;8;78;6;False
2023-01-19;0;0;5;71;6;False
2023-01-20;0;1;6;71;5;False
2023-01-21;0;0;6;67;5;False
2023-01-22;0;0;5;75;5;False
2023-01-23;0;1;7;73;6;False
2023-01-24;0;0;8;78;4;False
2023-01-25;0;1;5;72;6;False
2023-01-26;0;0;5;68;5;False
2023-01-27;0;1;6;67;4;False
2023-01-28;0;1;4;69;5;False
2023-01-29;0;0;6;78;5;False
2023-01-30;0;0;5;96;8;False
2023-01-31;0;0;5;100;7;False
