date;Music industry;Roald Dahl;united arab emirates;dominic raab;air travel;isPartial
2023-01-01;7;95;19;0;61;False
2023-01-02;24;84;11;11;72;False
2023-01-03;5;44;14;0;47;False
2023-01-04;21;67;13;0;71;False
2023-01-05;15;100;28;0;58;False
2023-01-06;13;57;14;0;58;False
2023-01-07;7;64;16;0;42;False
2023-01-08;30;89;18;0;67;False
2023-01-09;20;56;20;0;40;False
2023-01-10;12;52;11;12;63;False
2023-01-11;22;70;22;15;71;False
2023-01-12;32;48;5;8;59;False
2023-01-13;7;58;18;0;48;False
2023-01-14;19;78;5;0;45;False
2023-01-15;10;67;19;15;53;False
2023-01-16;22;71;11;10;55;False
2023-01-17;16;53;16;7;44;False
2023-01-18;13;37;12;18;64;False
2023-01-19;16;55;24;12;58;False
2023-01-20;11;66;9;19;47;False
2023-01-21;7;59;27;48;50;False
2023-01-22;10;62;14;0;56;False
2023-01-23;17;49;28;21;57;False
2023-01-24;20;63;22;7;44;False
2023-01-25;13;54;8;28;60;False
2023-01-26;10;48;14;89;54;False
2023-01-27;10;61;24;20;37;False
2023-01-28;6;57;16;59;52;False
2023-01-29;8;64;10;24;48;False
2023-01-30;12;51;9;17;80;False
2023-01-31;10;63;7;67;67;False
