date;Asian Infrastructure Investment Bank;Women in politics;Adobe;Greater Manchester;air travel;isPartial
2023-01-01;0;0;33;9;8;False
2023-01-02;0;0;44;9;10;False
2023-01-03;0;1;73;11;6;False
2023-01-04;0;2;89;13;10;False
2023-01-05;0;0;83;12;8;False
2023-01-06;0;0;70;11;8;False
2023-01-07;0;0;47;9;6;False
2023-01-08;0;0;49;9;9;False
2023-01-09;0;0;87;12;5;False
2023-01-10;0;0;86;12;9;False
2023-01-11;0;0;89;11;10;False
2023-01-12;0;0;86;11;8;False
2023-01-13;0;1;74;10;6;False
2023-01-14;0;0;47;7;6;False
2023-01-15;0;0;44;8;7;False
2023-01-16;0;0;91;10;7;False
2023-01-17;0;0;90;11;6;False
2023-01-18;1;0;90;11;9;False
2023-01-19;0;0;90;10;8;False
2023-01-20;0;0;88;16;6;False
2023-01-21;0;1;52;7;7;False
2023-01-22;1;0;44;8;8;False
2023-01-23;0;1;86;10;8;False
2023-01-24;0;0;94;13;6;False
2023-01-25;0;0;83;10;8;False
2023-01-26;1;0;91;11;7;False
2023-01-27;0;1;82;8;5;False
2023-01-28;1;0;47;8;7;False
2023-01-29;0;0;51;10;7;False
2023-01-30;2;0;95;10;11;False
2023-01-31;0;1;100;11;9;False
