date;Minnesota Timberwolves;pele;David Crosby;Emissions trading;air travel;isPartial
2023-01-01;0;69;0;0;4;False
2023-01-02;0;79;0;2;4;False
2023-01-03;0;100;0;0;3;False
2023-01-04;0;33;0;0;4;False
2023-01-05;0;23;0;1;3;False
2023-01-06;0;16;1;0;3;False
2023-01-07;0;15;0;0;2;False
2023-01-08;0;12;0;0;4;False
2023-01-09;1;9;0;0;2;False
2023-01-10;1;8;0;0;4;False
2023-01-11;0;9;0;0;4;False
2023-01-12;0;7;0;0;3;False
2023-01-13;0;7;0;0;3;False
2023-01-14;0;7;0;0;3;False
2023-01-15;0;6;0;0;3;False
2023-01-16;0;5;0;0;3;False
2023-01-17;0;4;0;1;3;False
2023-01-18;0;4;0;0;4;False
2023-01-19;0;4;43;0;3;False
2023-01-20;0;5;98;0;3;False
2023-01-21;0;7;20;0;3;False
2023-01-22;0;4;8;0;3;False
2023-01-23;0;4;3;0;3;False
2023-01-24;0;3;3;0;3;False
2023-01-25;0;5;2;0;3;False
2023-01-26;0;4;2;0;3;False
2023-01-27;0;8;2;0;2;False
2023-01-28;1;5;2;0;3;False
2023-01-29;0;5;1;0;3;False
2023-01-30;0;3;1;0;5;False
2023-01-31;0;4;0;0;4;False
