date;Jesse Armstrong;Protest;Sourdough;Party funding;air travel;isPartial
2023-01-01;0;26;53;2;25;False
2023-01-02;2;24;55;6;29;False
2023-01-03;8;28;52;0;19;False
2023-01-04;0;36;51;7;29;False
2023-01-05;0;29;45;0;24;False
2023-01-06;0;31;55;0;24;False
2023-01-07;0;35;64;6;17;False
2023-01-08;0;47;63;0;27;False
2023-01-09;0;41;52;0;16;False
2023-01-10;0;37;46;0;26;False
2023-01-11;5;37;45;0;29;False
2023-01-12;2;44;53;0;24;False
2023-01-13;0;34;52;0;19;False
2023-01-14;0;59;71;0;18;False
2023-01-15;0;54;62;0;21;False
2023-01-16;0;58;53;6;22;False
2023-01-17;0;56;55;3;18;False
2023-01-18;2;59;51;0;26;False
2023-01-19;0;68;41;0;24;False
2023-01-20;2;68;51;0;19;False
2023-01-21;0;100;70;0;20;False
2023-01-22;0;63;67;2;23;False
2023-01-23;0;62;53;0;23;False
2023-01-24;2;44;44;4;18;False
2023-01-25;0;44;50;0;24;False
2023-01-26;0;48;50;0;22;False
2023-01-27;3;53;63;3;15;False
2023-01-28;0;66;69;0;21;False
2023-01-29;0;57;67;0;20;False
2023-01-30;3;47;41;2;32;False
2023-01-31;0;49;42;0;27;False
