date;Australian music;Tony Abbott;Duchy of Lancaster;Dentists;air travel;isPartial
2023-01-01;5;0;0;44;31;False
2023-01-02;0;0;2;51;36;False
2023-01-03;0;0;3;88;23;False
2023-01-04;0;0;3;85;35;False
2023-01-05;3;0;7;91;29;False
2023-01-06;0;3;0;66;29;False
2023-01-07;5;0;0;41;21;False
2023-01-08;5;2;0;59;34;False
2023-01-09;2;3;0;100;20;False
2023-01-10;2;3;0;88;32;False
2023-01-11;0;2;0;80;36;False
2023-01-12;0;0;0;92;30;False
2023-01-13;2;0;2;71;24;False
2023-01-14;0;0;0;44;22;False
2023-01-15;2;0;0;58;27;False
2023-01-16;0;0;0;79;27;False
2023-01-17;9;3;2;83;22;False
2023-01-18;0;0;9;80;32;False
2023-01-19;2;3;6;80;29;False
2023-01-20;4;4;0;64;24;False
2023-01-21;2;6;0;38;25;False
2023-01-22;0;0;0;45;28;False
2023-01-23;3;0;2;83;29;False
2023-01-24;0;0;2;90;22;False
2023-01-25;3;0;0;78;30;False
2023-01-26;0;8;2;69;27;False
2023-01-27;4;5;0;61;19;False
2023-01-28;0;0;0;48;26;False
2023-01-29;2;5;0;43;24;False
2023-01-30;0;0;0;92;40;False
2023-01-31;0;0;2;79;34;False
