date;missouri;illinois;Saudi Arabia;plastics;air travel;isPartial
2023-01-01;18;9;80;14;13;False
2023-01-02;11;8;75;17;16;False
2023-01-03;12;8;88;30;10;False
2023-01-04;13;10;80;30;16;False
2023-01-05;10;9;68;27;13;False
2023-01-06;15;12;73;25;13;False
2023-01-07;5;16;76;12;9;False
2023-01-08;10;10;74;17;15;False
2023-01-09;10;8;83;35;9;False
2023-01-10;9;10;79;32;14;False
2023-01-11;7;12;100;27;16;False
2023-01-12;10;10;78;36;13;False
2023-01-13;10;8;61;28;11;False
2023-01-14;15;9;51;17;10;False
2023-01-15;18;10;67;13;12;False
2023-01-16;11;5;62;29;12;False
2023-01-17;7;11;58;49;10;False
2023-01-18;10;12;62;34;14;False
2023-01-19;10;8;92;34;13;False
2023-01-20;15;12;61;34;10;False
2023-01-21;11;5;55;17;11;False
2023-01-22;10;9;59;14;12;False
2023-01-23;9;9;66;35;13;False
2023-01-24;9;12;55;36;10;False
2023-01-25;11;8;69;27;13;False
2023-01-26;9;9;52;31;12;False
2023-01-27;10;12;53;23;8;False
2023-01-28;8;6;53;13;12;False
2023-01-29;8;11;51;15;11;False
2023-01-30;8;10;53;33;18;False
2023-01-31;10;10;68;36;15;False
