date;Walking;Living wage;Biotechnology industry;Mike Cannon-Brookes;air travel;isPartial
2023-01-01;94;1;0;0;3;False
2023-01-02;100;2;0;0;3;False
2023-01-03;78;3;0;0;2;False
2023-01-04;75;5;0;0;3;False
2023-01-05;74;5;0;0;2;False
2023-01-06;71;6;1;0;2;False
2023-01-07;74;2;0;0;2;False
2023-01-08;87;3;0;0;3;False
2023-01-09;71;5;0;0;2;False
2023-01-10;71;5;0;0;3;False
2023-01-11;67;5;0;0;3;False
2023-01-12;71;5;0;0;3;False
2023-01-13;68;4;0;0;2;False
2023-01-14;77;2;0;0;2;False
2023-01-15;84;2;0;0;2;False
2023-01-16;75;4;0;0;2;False
2023-01-17;69;5;0;0;2;False
2023-01-18;71;6;0;0;3;False
2023-01-19;69;4;0;0;2;False
2023-01-20;71;5;0;1;2;False
2023-01-21;82;3;0;0;2;False
2023-01-22;86;2;0;1;2;False
2023-01-23;74;5;0;0;2;False
2023-01-24;70;6;0;0;2;False
2023-01-25;66;6;0;0;3;False
2023-01-26;68;6;0;0;2;False
2023-01-27;68;4;0;0;2;False
2023-01-28;72;2;0;0;2;False
2023-01-29;83;3;0;0;2;False
2023-01-30;78;4;0;0;3;False
2023-01-31;75;5;0;0;3;False
