date;Leicestershire;disney;John Bolton;Counselling and therapy;air travel;isPartial
2023-01-01;4;100;0;0;2;False
2023-01-02;6;91;0;0;2;False
2023-01-03;6;67;0;0;1;False
2023-01-04;5;63;0;0;2;False
2023-01-05;5;61;0;0;1;False
2023-01-06;5;66;0;0;2;False
2023-01-07;4;79;0;0;1;False
2023-01-08;5;96;0;0;2;False
2023-01-09;6;56;1;0;1;False
2023-01-10;5;61;0;0;2;False
2023-01-11;5;59;0;0;2;False
2023-01-12;6;62;0;0;2;False
2023-01-13;5;64;0;0;1;False
2023-01-14;4;90;0;0;1;False
2023-01-15;5;83;0;0;1;False
2023-01-16;5;55;0;0;1;False
2023-01-17;5;53;0;0;1;False
2023-01-18;5;55;0;0;2;False
2023-01-19;5;54;0;0;1;False
2023-01-20;5;60;0;0;1;False
2023-01-21;5;80;0;0;1;False
2023-01-22;5;79;0;0;1;False
2023-01-23;5;60;0;0;1;False
2023-01-24;6;57;1;0;1;False
2023-01-25;5;59;0;0;2;False
2023-01-26;5;58;0;0;1;False
2023-01-27;4;61;0;0;1;False
2023-01-28;5;77;0;0;1;False
2023-01-29;4;81;0;0;1;False
2023-01-30;5;57;0;0;2;False
2023-01-31;6;58;0;0;2;False
