date;Mortgage rates;Bryan Ferry;steve barclay;Film industry;air travel;isPartial
2023-01-01;64;6;0;2;13;False
2023-01-02;67;0;5;3;15;False
2023-01-03;92;2;7;4;10;False
2023-01-04;100;0;2;1;15;False
2023-01-05;84;1;4;3;12;False
2023-01-06;82;6;4;2;13;False
2023-01-07;83;3;2;2;9;False
2023-01-08;84;6;4;1;14;False
2023-01-09;96;0;8;2;9;False
2023-01-10;89;3;8;2;13;False
2023-01-11;82;1;11;5;15;False
2023-01-12;87;4;6;3;13;False
2023-01-13;72;3;3;1;10;False
2023-01-14;71;2;2;0;10;False
2023-01-15;57;3;2;2;11;False
2023-01-16;77;1;5;2;12;False
2023-01-17;88;3;0;5;10;False
2023-01-18;94;1;3;3;14;False
2023-01-19;74;3;2;5;12;False
2023-01-20;77;25;1;2;10;False
2023-01-21;62;6;1;3;11;False
2023-01-22;59;3;3;2;12;False
2023-01-23;92;3;2;4;12;False
2023-01-24;93;2;0;1;9;False
2023-01-25;85;3;3;4;13;False
2023-01-26;77;1;1;1;12;False
2023-01-27;66;4;4;4;8;False
2023-01-28;59;2;0;0;11;False
2023-01-29;67;2;0;0;10;False
2023-01-30;80;1;3;3;17;False
2023-01-31;98;2;3;2;14;False
