date;Manchester;Drought;rick astley;Running;air travel;isPartial
2023-01-01;55;0;0;19;0;False
2023-01-02;64;0;0;18;0;False
2023-01-03;76;0;0;15;0;False
2023-01-04;59;0;0;14;0;False
2023-01-05;60;0;0;14;0;False
2023-01-06;79;0;0;13;0;False
2023-01-07;60;0;0;14;0;False
2023-01-08;66;0;0;15;0;False
2023-01-09;60;0;0;13;0;False
2023-01-10;83;0;0;13;0;False
2023-01-11;69;0;0;11;0;False
2023-01-12;64;0;0;12;0;False
2023-01-13;62;0;0;11;0;False
2023-01-14;100;0;0;13;0;False
2023-01-15;63;0;0;14;0;False
2023-01-16;62;0;0;13;0;False
2023-01-17;59;0;0;12;0;False
2023-01-18;73;0;0;12;0;False
2023-01-19;81;0;0;12;0;False
2023-01-20;63;0;0;12;0;False
2023-01-21;63;0;1;14;0;False
2023-01-22;95;0;0;14;0;False
2023-01-23;63;0;0;12;0;False
2023-01-24;61;0;0;13;0;False
2023-01-25;75;0;0;12;0;False
2023-01-26;60;0;0;11;0;False
2023-01-27;66;0;1;11;0;False
2023-01-28;79;0;1;13;0;False
2023-01-29;61;0;0;14;0;False
2023-01-30;60;0;0;12;1;False
2023-01-31;66;0;0;13;0;False
