date;Hertfordshire;palestine;Afghanistan cricket team;Classical music;air travel;isPartial
2023-01-01;64;20;0;11;15;False
2023-01-02;70;19;0;11;18;False
2023-01-03;76;19;0;12;11;False
2023-01-04;88;24;0;16;17;False
2023-01-05;100;17;0;15;14;False
2023-01-06;84;15;0;15;14;False
2023-01-07;70;12;0;11;10;False
2023-01-08;66;18;0;15;17;False
2023-01-09;91;18;0;13;10;False
2023-01-10;79;13;0;13;15;False
2023-01-11;87;14;0;19;18;False
2023-01-12;80;15;2;17;15;False
2023-01-13;72;16;2;16;12;False
2023-01-14;66;15;0;12;11;False
2023-01-15;67;13;0;14;13;False
2023-01-16;95;17;0;14;13;False
2023-01-17;84;13;0;15;11;False
2023-01-18;85;13;0;14;16;False
2023-01-19;77;19;0;15;14;False
2023-01-20;85;17;0;12;12;False
2023-01-21;70;21;0;14;12;False
2023-01-22;77;18;0;19;14;False
2023-01-23;90;21;0;14;14;False
2023-01-24;79;16;0;16;11;False
2023-01-25;75;19;2;12;15;False
2023-01-26;87;32;0;15;13;False
2023-01-27;80;34;0;14;9;False
2023-01-28;70;40;0;13;13;False
2023-01-29;64;33;0;10;12;False
2023-01-30;80;24;0;14;20;False
2023-01-31;89;20;0;18;16;False
