date;Retail industry;BBC National Orchestra of Wales;homelessness;Electric, hybrid and low-emission cars;air travel;isPartial
2023-01-01;0;0;20;0;76;False
2023-01-02;26;0;13;0;90;False
2023-01-03;7;0;42;0;59;False
2023-01-04;17;0;47;0;89;False
2023-01-05;10;10;24;0;73;False
2023-01-06;9;0;56;0;73;False
2023-01-07;8;0;8;0;53;False
2023-01-08;6;0;34;0;84;False
2023-01-09;7;5;72;0;50;False
2023-01-10;11;0;54;0;79;False
2023-01-11;0;0;56;0;90;False
2023-01-12;0;0;33;0;75;False
2023-01-13;18;0;42;0;60;False
2023-01-14;0;0;19;0;56;False
2023-01-15;13;5;36;0;66;False
2023-01-16;22;0;65;0;68;False
2023-01-17;0;0;33;0;56;False
2023-01-18;13;0;43;0;80;False
2023-01-19;15;0;57;0;73;False
2023-01-20;8;6;27;0;59;False
2023-01-21;0;14;27;0;63;False
2023-01-22;7;5;24;0;70;False
2023-01-23;8;0;36;0;72;False
2023-01-24;6;0;55;0;55;False
2023-01-25;6;9;39;0;75;False
2023-01-26;6;0;33;0;68;False
2023-01-27;9;0;31;0;47;False
2023-01-28;8;0;18;0;66;False
2023-01-29;13;8;17;0;60;False
2023-01-30;0;0;43;0;100;False
2023-01-31;9;0;62;0;84;False
