date;Emergency services;virginia;Tracey Emin;Australian television;air travel;isPartial
2023-01-01;8;100;3;0;17;False
2023-01-02;5;69;2;0;20;False
2023-01-03;5;58;2;4;13;False
2023-01-04;8;60;4;0;19;False
2023-01-05;7;61;4;0;16;False
2023-01-06;7;69;0;0;16;False
2023-01-07;9;81;3;0;12;False
2023-01-08;6;78;4;0;18;False
2023-01-09;8;59;2;0;11;False
2023-01-10;5;63;4;0;17;False
2023-01-11;9;64;3;0;19;False
2023-01-12;8;57;2;0;16;False
2023-01-13;8;61;0;0;13;False
2023-01-14;9;60;8;0;12;False
2023-01-15;5;58;2;1;14;False
2023-01-16;6;65;2;0;15;False
2023-01-17;9;52;3;0;12;False
2023-01-18;4;50;0;0;17;False
2023-01-19;10;59;2;0;16;False
2023-01-20;5;52;2;0;13;False
2023-01-21;9;55;4;1;14;False
2023-01-22;7;76;2;2;15;False
2023-01-23;5;72;2;0;16;False
2023-01-24;6;66;3;0;12;False
2023-01-25;7;63;0;0;16;False
2023-01-26;8;57;3;1;15;False
2023-01-27;9;55;1;2;10;False
2023-01-28;5;59;5;0;14;False
2023-01-29;9;56;2;3;13;False
2023-01-30;9;59;4;0;22;False
2023-01-31;7;51;2;0;18;False
