date;Opera;Alan Cumming;pensions;US news;air travel;isPartial
2023-01-01;92;5;13;11;9;False
2023-01-02;80;4;31;7;10;False
2023-01-03;73;1;51;12;7;False
2023-01-04;73;2;52;13;10;False
2023-01-05;73;2;55;11;8;False
2023-01-06;73;4;46;16;8;False
2023-01-07;75;2;27;8;6;False
2023-01-08;91;4;24;12;10;False
2023-01-09;72;2;48;12;6;False
2023-01-10;72;1;58;13;9;False
2023-01-11;70;0;48;17;10;False
2023-01-12;71;8;54;17;8;False
2023-01-13;72;31;45;16;7;False
2023-01-14;97;33;24;12;6;False
2023-01-15;100;25;22;12;7;False
2023-01-16;72;15;50;19;8;False
2023-01-17;66;11;47;15;6;False
2023-01-18;67;10;54;16;9;False
2023-01-19;74;8;52;13;8;False
2023-01-20;75;13;46;12;7;False
2023-01-21;76;12;27;9;7;False
2023-01-22;78;14;26;14;8;False
2023-01-23;71;9;57;17;8;False
2023-01-24;71;9;58;16;6;False
2023-01-25;77;10;55;11;9;False
2023-01-26;72;8;51;10;8;False
2023-01-27;79;59;44;15;5;False
2023-01-28;87;30;30;17;7;False
2023-01-29;86;16;32;12;7;False
2023-01-30;80;8;60;15;11;False
2023-01-31;69;5;60;16;9;False
