date;Natural History Museum;Mississippi;Honda;Spirits;air travel;isPartial
2023-01-01;17;4;68;12;5;False
2023-01-02;15;5;75;8;6;False
2023-01-03;12;4;69;11;4;False
2023-01-04;11;4;73;10;6;False
2023-01-05;9;3;73;9;5;False
2023-01-06;9;4;86;8;5;False
2023-01-07;18;3;77;11;4;False
2023-01-08;16;5;81;10;6;False
2023-01-09;7;4;83;10;3;False
2023-01-10;8;4;82;10;5;False
2023-01-11;7;5;69;11;6;False
2023-01-12;10;2;88;11;5;False
2023-01-13;11;4;75;11;4;False
2023-01-14;17;4;89;11;4;False
2023-01-15;11;4;79;11;5;False
2023-01-16;9;3;80;8;5;False
2023-01-17;10;3;81;9;4;False
2023-01-18;8;5;74;10;6;False
2023-01-19;8;4;75;8;5;False
2023-01-20;11;5;79;10;4;False
2023-01-21;15;3;100;11;4;False
2023-01-22;14;5;88;10;5;False
2023-01-23;10;5;88;10;5;False
2023-01-24;12;4;90;12;4;False
2023-01-25;9;3;82;8;5;False
2023-01-26;9;5;76;11;5;False
2023-01-27;11;5;89;12;3;False
2023-01-28;18;3;90;12;5;False
2023-01-29;15;3;93;13;4;False
2023-01-30;11;4;89;11;7;False
2023-01-31;8;5;90;10;6;False
