date;Court of justice of the European Union;Court of appeal;extreme weather;JD Sports Fashion;air travel;isPartial
2023-01-01;0;0;14;7;76;False
2023-01-02;0;0;14;0;90;False
2023-01-03;0;11;27;0;59;False
2023-01-04;15;15;18;0;89;False
2023-01-05;0;18;19;0;73;False
2023-01-06;0;14;19;6;73;False
2023-01-07;0;9;9;0;53;False
2023-01-08;0;15;19;0;84;False
2023-01-09;0;19;22;0;50;False
2023-01-10;18;18;24;8;79;False
2023-01-11;0;22;14;0;90;False
2023-01-12;15;35;15;18;75;False
2023-01-13;0;18;7;10;60;False
2023-01-14;6;0;20;7;56;False
2023-01-15;11;9;19;7;66;False
2023-01-16;0;25;33;8;68;False
2023-01-17;0;37;27;0;56;False
2023-01-18;0;32;18;0;80;False
2023-01-19;0;17;30;0;73;False
2023-01-20;0;22;13;0;59;False
2023-01-21;0;8;28;0;63;False
2023-01-22;0;18;27;6;70;False
2023-01-23;10;7;33;6;72;False
2023-01-24;0;25;16;0;55;False
2023-01-25;0;25;26;0;75;False
2023-01-26;0;24;11;0;68;False
2023-01-27;0;26;18;7;47;False
2023-01-28;0;8;7;7;66;False
2023-01-29;19;10;20;0;60;False
2023-01-30;0;29;21;0;100;False
2023-01-31;0;43;12;10;84;False
