date;Foo Fighters;Keeley Hawes;PlayStation 4;Asos;air travel;isPartial
2023-01-01;30;3;7;87;4;False
2023-01-02;21;17;6;100;5;False
2023-01-03;4;15;5;93;3;False
2023-01-04;2;13;5;96;5;False
2023-01-05;3;7;5;91;4;False
2023-01-06;2;5;5;89;4;False
2023-01-07;7;4;6;90;3;False
2023-01-08;5;6;6;99;5;False
2023-01-09;4;2;4;90;3;False
2023-01-10;10;3;3;85;4;False
2023-01-11;12;2;3;87;5;False
2023-01-12;5;2;4;90;4;False
2023-01-13;6;2;5;84;3;False
2023-01-14;5;2;6;82;3;False
2023-01-15;4;2;5;97;4;False
2023-01-16;3;1;4;86;4;False
2023-01-17;3;2;4;83;3;False
2023-01-18;4;2;3;85;4;False
2023-01-19;5;1;4;82;4;False
2023-01-20;6;2;3;82;3;False
2023-01-21;6;4;5;85;3;False
2023-01-22;4;2;6;97;4;False
2023-01-23;4;2;4;94;4;False
2023-01-24;4;0;4;87;3;False
2023-01-25;5;2;3;84;4;False
2023-01-26;4;1;4;89;4;False
2023-01-27;4;1;4;85;3;False
2023-01-28;3;1;6;79;4;False
2023-01-29;4;1;5;97;3;False
2023-01-30;2;0;4;92;5;False
2023-01-31;2;1;4;98;4;False
