date;Glaciers;Welsh National Opera;Children's books: 7 and under;plymouth;air travel;isPartial
2023-01-01;1;0;0;94;3;False
2023-01-02;1;0;0;81;4;False
2023-01-03;0;0;0;76;2;False
2023-01-04;1;0;0;74;3;False
2023-01-05;1;0;0;73;3;False
2023-01-06;1;0;0;76;3;False
2023-01-07;0;0;0;90;2;False
2023-01-08;0;0;0;78;3;False
2023-01-09;0;1;0;78;2;False
2023-01-10;1;0;0;82;3;False
2023-01-11;0;0;0;73;3;False
2023-01-12;1;0;0;82;3;False
2023-01-13;1;0;0;77;2;False
2023-01-14;0;0;0;100;2;False
2023-01-15;1;0;0;70;3;False
2023-01-16;1;0;0;79;3;False
2023-01-17;1;0;0;80;2;False
2023-01-18;0;0;0;75;3;False
2023-01-19;0;0;0;71;3;False
2023-01-20;0;0;0;73;2;False
2023-01-21;0;1;0;93;2;False
2023-01-22;0;0;0;73;3;False
2023-01-23;1;0;0;81;3;False
2023-01-24;1;1;0;73;2;False
2023-01-25;0;0;0;71;3;False
2023-01-26;1;0;0;69;3;False
2023-01-27;1;0;0;72;2;False
2023-01-28;0;1;0;73;3;False
2023-01-29;0;0;0;68;2;False
2023-01-30;1;0;0;73;4;False
2023-01-31;1;1;0;83;3;False
