date;Steve Barclay;News Corporation;Lidl;rail strikes;air travel;isPartial
2023-01-01;0;0;100;11;2;False
2023-01-02;1;0;98;22;2;False
2023-01-03;1;0;40;29;1;False
2023-01-04;0;0;39;19;2;False
2023-01-05;1;0;42;16;2;False
2023-01-06;1;0;41;13;2;False
2023-01-07;0;0;45;7;1;False
2023-01-08;1;0;57;10;2;False
2023-01-09;1;0;39;13;1;False
2023-01-10;1;0;39;10;2;False
2023-01-11;2;0;35;9;2;False
2023-01-12;1;0;42;11;2;False
2023-01-13;0;0;38;6;1;False
2023-01-14;0;0;47;5;1;False
2023-01-15;0;0;56;5;2;False
2023-01-16;1;0;40;9;2;False
2023-01-17;0;0;34;11;1;False
2023-01-18;0;0;38;11;2;False
2023-01-19;0;0;40;9;2;False
2023-01-20;0;0;40;8;1;False
2023-01-21;0;0;50;4;2;False
2023-01-22;0;0;59;5;2;False
2023-01-23;0;0;41;9;2;False
2023-01-24;0;0;39;8;1;False
2023-01-25;0;0;38;9;2;False
2023-01-26;0;0;41;8;2;False
2023-01-27;0;0;41;9;1;False
2023-01-28;0;0;44;4;2;False
2023-01-29;0;0;56;6;1;False
2023-01-30;0;0;38;15;2;False
2023-01-31;0;0;37;16;2;False
