date;Jeff Beck;Napoli;Vaping;Seth Meyers;air travel;isPartial
2023-01-01;0;2;2;0;1;False
2023-01-02;0;2;3;0;1;False
2023-01-03;0;2;4;0;1;False
2023-01-04;0;6;4;0;1;False
2023-01-05;0;3;3;0;1;False
2023-01-06;0;2;3;0;1;False
2023-01-07;1;2;2;0;1;False
2023-01-08;0;6;3;0;1;False
2023-01-09;0;2;4;0;1;False
2023-01-10;0;2;4;0;1;False
2023-01-11;34;2;3;0;1;False
2023-01-12;100;2;3;0;1;False
2023-01-13;15;17;3;0;1;False
2023-01-14;7;8;3;0;1;False
2023-01-15;5;3;3;0;1;False
2023-01-16;2;3;3;0;1;False
2023-01-17;2;7;3;0;1;False
2023-01-18;1;4;3;0;1;False
2023-01-19;1;2;4;0;1;False
2023-01-20;1;2;3;0;1;False
2023-01-21;1;7;3;0;1;False
2023-01-22;1;3;3;0;1;False
2023-01-23;1;3;3;0;1;False
2023-01-24;1;2;3;0;1;False
2023-01-25;1;2;3;0;1;False
2023-01-26;1;2;3;0;1;False
2023-01-27;0;2;3;0;1;False
2023-01-28;4;3;3;0;1;False
2023-01-29;1;16;3;0;1;False
2023-01-30;1;5;4;0;1;False
2023-01-31;1;3;3;0;1;False
