date;Los Angeles FC;Jude Bellingham;Cross stitch;Machu Picchu, Peru;air travel;isPartial
2023-01-01;8;90;78;3;34;False
2023-01-02;0;72;64;0;40;False
2023-01-03;0;77;50;0;26;False
2023-01-04;0;51;51;0;40;False
2023-01-05;2;75;39;0;33;False
2023-01-06;0;82;40;0;33;False
2023-01-07;3;94;56;0;24;False
2023-01-08;0;100;69;3;38;False
2023-01-09;4;52;42;0;22;False
2023-01-10;0;57;46;0;35;False
2023-01-11;0;55;43;0;40;False
2023-01-12;0;78;57;0;33;False
2023-01-13;0;76;50;0;27;False
2023-01-14;0;50;53;0;25;False
2023-01-15;0;53;70;4;30;False
2023-01-16;3;39;43;0;31;False
2023-01-17;10;46;45;0;25;False
2023-01-18;0;72;54;0;36;False
2023-01-19;0;62;49;0;33;False
2023-01-20;0;64;45;0;26;False
2023-01-21;0;53;50;0;28;False
2023-01-22;0;74;55;0;31;False
2023-01-23;0;71;45;0;32;False
2023-01-24;0;66;47;0;25;False
2023-01-25;4;96;51;0;34;False
2023-01-26;0;72;44;0;30;False
2023-01-27;0;48;45;0;21;False
2023-01-28;4;69;49;0;29;False
2023-01-29;2;44;51;0;27;False
2023-01-30;0;64;52;0;45;False
2023-01-31;0;74;48;5;38;False
