date;Rory Kinnear;Palaeontology;Pink Floyd;Health & wellbeing;air travel;isPartial
2023-01-01;12;0;42;2;24;False
2023-01-02;0;0;38;2;29;False
2023-01-03;0;0;21;3;19;False
2023-01-04;3;0;29;4;28;False
2023-01-05;0;3;31;0;23;False
2023-01-06;46;4;33;0;23;False
2023-01-07;7;0;37;1;17;False
2023-01-08;13;0;36;0;27;False
2023-01-09;2;0;25;5;16;False
2023-01-10;0;0;22;0;25;False
2023-01-11;0;0;31;3;28;False
2023-01-12;4;0;37;4;24;False
2023-01-13;14;0;33;0;19;False
2023-01-14;9;0;45;0;18;False
2023-01-15;2;0;83;5;21;False
2023-01-16;42;0;30;4;22;False
2023-01-17;15;0;30;0;18;False
2023-01-18;6;2;22;2;25;False
2023-01-19;13;1;43;6;23;False
2023-01-20;21;0;68;2;19;False
2023-01-21;31;0;83;0;20;False
2023-01-22;16;0;100;2;22;False
2023-01-23;14;0;43;2;23;False
2023-01-24;7;0;40;0;17;False
2023-01-25;9;0;38;2;24;False
2023-01-26;5;0;42;2;22;False
2023-01-27;17;0;42;5;15;False
2023-01-28;19;0;40;3;21;False
2023-01-29;7;0;44;0;19;False
2023-01-30;4;0;35;0;32;False
2023-01-31;4;2;24;0;27;False
