date;joanna lumley;film;new year honours;daniel craig;air travel;isPartial
2022-01-01;4;100;8;9;0;False
2022-01-02;2;94;2;4;1;False
2022-01-03;1;76;1;2;1;False
2022-01-04;0;60;0;2;1;False
2022-01-05;0;52;0;1;1;False
2022-01-06;0;54;0;1;1;False
2022-01-07;0;66;0;2;1;False
2022-01-08;1;90;0;2;1;False
2022-01-09;1;79;0;2;0;False
2022-01-10;0;59;0;1;1;False
2022-01-11;0;53;0;1;1;False
2022-01-12;0;50;0;1;1;False
2022-01-13;0;53;0;1;1;False
2022-01-14;0;62;0;1;1;False
2022-01-15;1;91;0;2;1;False
2022-01-16;1;88;0;1;1;False
2022-01-17;0;56;0;1;1;False
2022-01-18;0;49;0;1;1;False
2022-01-19;0;52;0;1;1;False
2022-01-20;0;57;0;1;1;False
2022-01-21;0;69;0;1;0;False
2022-01-22;0;93;0;2;1;False
2022-01-23;1;91;0;2;1;False
2022-01-24;0;67;0;1;1;False
2022-01-25;0;57;0;1;1;False
2022-01-26;0;49;0;1;1;False
2022-01-27;0;53;0;1;1;False
2022-01-28;1;67;0;1;1;False
2022-01-29;1;75;0;1;1;False
2022-01-30;1;81;0;1;1;False
2022-01-31;0;55;0;1;1;False
