date;holocaust memorial day;press freedom;human rights;imran khan;air travel;isPartial
2022-01-01;0;0;10;4;5;False
2022-01-02;0;0;15;4;10;False
2022-01-03;0;0;19;4;9;False
2022-01-04;0;0;21;2;8;False
2022-01-05;1;0;24;2;13;False
2022-01-06;2;0;25;3;10;False
2022-01-07;1;3;20;3;10;False
2022-01-08;0;3;13;3;10;False
2022-01-09;1;0;15;6;6;False
2022-01-10;4;0;30;3;16;False
2022-01-11;2;0;26;3;11;False
2022-01-12;3;0;25;5;11;False
2022-01-13;4;0;28;4;13;False
2022-01-14;2;0;18;3;12;False
2022-01-15;0;2;17;3;12;False
2022-01-16;1;2;20;6;13;False
2022-01-17;3;1;26;5;8;False
2022-01-18;6;0;28;4;10;False
2022-01-19;7;1;22;2;12;False
2022-01-20;5;1;20;3;7;False
2022-01-21;5;1;20;3;6;False
2022-01-22;1;0;12;2;8;False
2022-01-23;7;0;17;3;10;False
2022-01-24;10;0;30;5;13;False
2022-01-25;9;0;26;3;8;False
2022-01-26;25;1;24;4;10;False
2022-01-27;100;2;28;3;9;False
2022-01-28;17;1;22;5;7;False
2022-01-29;1;0;12;4;9;False
2022-01-30;0;0;18;4;12;False
2022-01-31;4;0;20;5;14;False
