date;chinese new year;myanmar coup ;myanmar;rspca;air travel;isPartial
2022-01-01;13;0;1;5;1;False
2022-01-02;8;0;1;6;1;False
2022-01-03;8;0;1;7;1;False
2022-01-04;11;0;1;5;1;False
2022-01-05;10;0;1;6;2;False
2022-01-06;9;0;1;6;1;False
2022-01-07;10;0;1;6;1;False
2022-01-08;8;0;0;6;1;False
2022-01-09;8;0;1;6;1;False
2022-01-10;10;0;2;7;2;False
2022-01-11;10;0;1;6;1;False
2022-01-12;9;0;1;5;1;False
2022-01-13;8;0;1;6;2;False
2022-01-14;10;0;1;5;2;False
2022-01-15;11;0;1;6;2;False
2022-01-16;11;0;0;7;2;False
2022-01-17;11;0;1;6;1;False
2022-01-18;11;0;1;5;1;False
2022-01-19;10;0;1;5;2;False
2022-01-20;11;0;1;5;1;False
2022-01-21;14;0;1;5;1;False
2022-01-22;15;0;1;6;1;False
2022-01-23;15;0;1;6;1;False
2022-01-24;19;0;1;7;2;False
2022-01-25;23;0;1;5;1;False
2022-01-26;24;0;1;5;1;False
2022-01-27;24;0;1;5;1;False
2022-01-28;34;0;1;6;1;False
2022-01-29;43;0;1;6;1;False
2022-01-30;43;0;1;5;2;False
2022-01-31;100;0;2;5;2;False
