date;England;UK news;Infectious diseases;Medical research;air travel;isPartial
2022-01-01;60;65;0;0;1;False
2022-01-02;71;61;0;0;1;False
2022-01-03;70;58;0;0;1;False
2022-01-04;89;63;0;0;1;False
2022-01-05;92;60;0;0;1;False
2022-01-06;75;54;0;0;1;False
2022-01-07;83;54;0;0;1;False
2022-01-08;82;44;0;0;1;False
2022-01-09;91;47;0;0;1;False
2022-01-10;68;56;0;0;2;False
2022-01-11;70;49;0;0;1;False
2022-01-12;90;55;0;0;1;False
2022-01-13;69;58;0;1;1;False
2022-01-14;77;48;0;0;1;False
2022-01-15;91;47;0;0;1;False
2022-01-16;100;53;0;0;1;False
2022-01-17;60;47;0;0;1;False
2022-01-18;73;46;0;0;1;False
2022-01-19;68;60;0;0;1;False
2022-01-20;65;46;0;0;1;False
2022-01-21;67;48;0;1;1;False
2022-01-22;85;44;0;0;1;False
2022-01-23;94;40;0;0;1;False
2022-01-24;92;56;0;0;2;False
2022-01-25;70;45;0;0;1;False
2022-01-26;73;55;0;0;1;False
2022-01-27;63;48;0;0;1;False
2022-01-28;68;49;0;0;1;False
2022-01-29;90;45;0;0;1;False
2022-01-30;94;48;0;0;1;False
2022-01-31;71;60;0;0;2;False
