date;Australia news;Arsenal;Barcelona;Mexico;air travel;isPartial
2022-01-01;1;83;4;6;0;False
2022-01-02;1;20;9;7;1;False
2022-01-03;0;18;7;7;0;False
2022-01-04;1;21;5;7;0;False
2022-01-05;1;24;10;7;1;False
2022-01-06;1;19;5;7;1;False
2022-01-07;1;23;6;7;1;False
2022-01-08;1;25;8;8;1;False
2022-01-09;1;100;7;9;0;False
2022-01-10;2;22;6;8;1;False
2022-01-11;1;19;6;7;1;False
2022-01-12;1;21;19;7;1;False
2022-01-13;1;90;9;6;1;False
2022-01-14;1;33;5;7;1;False
2022-01-15;1;40;6;7;1;False
2022-01-16;2;30;7;9;1;False
2022-01-17;1;22;5;6;0;False
2022-01-18;1;21;5;6;1;False
2022-01-19;1;26;6;6;1;False
2022-01-20;1;83;9;6;0;False
2022-01-21;1;26;6;6;0;False
2022-01-22;1;24;7;6;0;False
2022-01-23;1;62;10;7;1;False
2022-01-24;1;20;7;8;1;False
2022-01-25;0;18;5;7;0;False
2022-01-26;1;19;6;6;1;False
2022-01-27;1;20;6;6;0;False
2022-01-28;1;22;6;7;0;False
2022-01-29;1;25;6;7;1;False
2022-01-30;1;29;7;8;1;False
2022-01-31;0;47;7;6;1;False
