date;Australia sport;Tennis;Golf;LIV Golf Series;air travel;isPartial
2022-01-01;0;11;68;0;1;False
2022-01-02;0;16;75;0;1;False
2022-01-03;0;15;75;0;1;False
2022-01-04;0;15;67;0;1;False
2022-01-05;0;17;58;0;1;False
2022-01-06;0;20;65;0;1;False
2022-01-07;0;17;64;0;1;False
2022-01-08;0;19;75;0;1;False
2022-01-09;0;20;80;0;1;False
2022-01-10;0;24;76;0;2;False
2022-01-11;0;20;63;0;1;False
2022-01-12;0;21;61;0;1;False
2022-01-13;0;21;64;0;1;False
2022-01-14;0;25;64;0;1;False
2022-01-15;1;35;75;0;1;False
2022-01-16;0;30;84;0;1;False
2022-01-17;0;25;66;0;1;False
2022-01-18;0;36;61;0;1;False
2022-01-19;0;23;52;0;1;False
2022-01-20;0;34;64;0;1;False
2022-01-21;0;25;67;0;1;False
2022-01-22;0;26;78;0;1;False
2022-01-23;0;25;83;0;1;False
2022-01-24;0;26;73;0;1;False
2022-01-25;0;26;60;0;1;False
2022-01-26;0;28;58;0;1;False
2022-01-27;0;23;63;0;1;False
2022-01-28;0;30;74;0;1;False
2022-01-29;0;38;87;0;1;False
2022-01-30;0;100;91;0;1;False
2022-01-31;0;20;62;0;1;False
