date;Work-life balance;Work & careers;Cyprus;Folk music;air travel;isPartial
2022-01-01;0;1;44;3;3;False
2022-01-02;0;0;46;1;6;False
2022-01-03;0;0;48;1;5;False
2022-01-04;0;0;46;2;4;False
2022-01-05;0;0;48;2;7;False
2022-01-06;1;0;46;2;6;False
2022-01-07;0;0;57;2;6;False
2022-01-08;0;0;55;0;6;False
2022-01-09;0;0;72;2;3;False
2022-01-10;0;0;67;1;9;False
2022-01-11;0;0;72;0;6;False
2022-01-12;1;0;50;2;6;False
2022-01-13;0;0;59;0;7;False
2022-01-14;0;0;48;1;7;False
2022-01-15;0;0;52;2;7;False
2022-01-16;0;0;100;0;8;False
2022-01-17;0;1;55;0;4;False
2022-01-18;0;0;60;2;6;False
2022-01-19;0;0;48;1;7;False
2022-01-20;1;0;51;1;4;False
2022-01-21;0;0;51;1;3;False
2022-01-22;0;1;64;2;5;False
2022-01-23;0;0;72;1;6;False
2022-01-24;0;0;73;1;8;False
2022-01-25;0;0;60;2;5;False
2022-01-26;1;0;59;1;6;False
2022-01-27;0;1;49;0;5;False
2022-01-28;0;0;55;3;4;False
2022-01-29;0;0;54;1;5;False
2022-01-30;0;0;66;2;7;False
2022-01-31;0;0;67;1;8;False
