date;Juventus;Rayo Vallecano;European club football;Stock markets;air travel;isPartial
2022-01-01;11;3;0;2;5;False
2022-01-02;15;9;1;1;8;False
2022-01-03;11;0;0;2;9;False
2022-01-04;14;0;0;3;11;False
2022-01-05;17;4;0;1;11;False
2022-01-06;76;2;0;1;10;False
2022-01-07;23;0;1;4;10;False
2022-01-08;13;1;0;0;9;False
2022-01-09;100;3;0;1;9;False
2022-01-10;29;0;0;3;13;False
2022-01-11;12;1;0;3;10;False
2022-01-12;82;1;0;2;11;False
2022-01-13;36;1;0;3;12;False
2022-01-14;11;0;0;2;11;False
2022-01-15;47;3;0;3;10;False
2022-01-16;25;0;0;0;11;False
2022-01-17;11;0;0;2;6;False
2022-01-18;32;1;0;3;9;False
2022-01-19;14;0;0;2;10;False
2022-01-20;15;0;0;2;7;False
2022-01-21;12;0;0;4;6;False
2022-01-22;21;0;3;1;9;False
2022-01-23;63;4;0;1;10;False
2022-01-24;20;0;0;7;13;False
2022-01-25;22;1;1;5;8;False
2022-01-26;16;0;0;2;10;False
2022-01-27;11;0;0;1;9;False
2022-01-28;25;0;1;2;8;False
2022-01-29;24;0;0;2;8;False
2022-01-30;32;0;0;2;12;False
2022-01-31;43;1;0;2;12;False
