date;Leicester City Women;Reading Women;Brighton & Hove Albion Women;Birmingham City Women;air travel;isPartial
2022-01-01;0;6;0;0;34;False
2022-01-02;0;7;0;0;64;False
2022-01-03;0;0;0;0;61;False
2022-01-04;0;0;0;0;82;False
2022-01-05;6;0;0;0;81;False
2022-01-06;8;6;0;0;72;False
2022-01-07;0;0;0;0;80;False
2022-01-08;0;5;0;0;66;False
2022-01-09;0;0;0;8;65;False
2022-01-10;0;15;0;0;98;False
2022-01-11;5;18;0;0;73;False
2022-01-12;5;8;0;0;78;False
2022-01-13;0;28;9;0;95;False
2022-01-14;0;11;0;0;82;False
2022-01-15;0;5;0;0;71;False
2022-01-16;0;11;0;0;84;False
2022-01-17;0;10;0;0;46;False
2022-01-18;0;7;0;0;68;False
2022-01-19;8;16;0;0;70;False
2022-01-20;17;0;0;0;49;False
2022-01-21;0;11;0;0;44;False
2022-01-22;0;8;0;0;67;False
2022-01-23;5;25;0;0;73;False
2022-01-24;0;15;6;6;100;False
2022-01-25;0;14;4;0;56;False
2022-01-26;6;0;0;18;75;False
2022-01-27;0;12;0;0;62;False
2022-01-28;0;0;0;0;57;False
2022-01-29;0;12;0;6;59;False
2022-01-30;11;13;0;7;88;False
2022-01-31;0;16;0;0;89;False
