date;George Ezra;Kansas;Romola Garai;Counselling and therapy;air travel;isPartial
2022-01-01;13;13;0;0;6;False
2022-01-02;4;18;0;0;15;False
2022-01-03;5;11;0;1;10;False
2022-01-04;3;7;0;0;12;False
2022-01-05;3;15;0;0;18;False
2022-01-06;4;10;0;0;14;False
2022-01-07;2;12;0;0;16;False
2022-01-08;9;24;1;0;14;False
2022-01-09;7;24;0;0;11;False
2022-01-10;3;10;1;0;19;False
2022-01-11;5;12;0;1;15;False
2022-01-12;5;12;0;0;17;False
2022-01-13;6;9;0;0;19;False
2022-01-14;6;12;1;2;18;False
2022-01-15;9;7;2;0;17;False
2022-01-16;5;19;0;0;18;False
2022-01-17;0;25;2;0;13;False
2022-01-18;5;14;1;0;15;False
2022-01-19;6;11;3;1;16;False
2022-01-20;4;12;0;0;9;False
2022-01-21;6;10;2;0;9;False
2022-01-22;8;12;1;2;12;False
2022-01-23;8;27;3;0;16;False
2022-01-24;6;49;0;3;17;False
2022-01-25;8;17;0;2;12;False
2022-01-26;7;14;3;2;15;False
2022-01-27;7;13;10;1;13;False
2022-01-28;46;9;3;1;12;False
2022-01-29;19;20;3;0;9;False
2022-01-30;22;100;0;0;16;False
2022-01-31;13;30;0;1;18;False
