date;A-League Women;Indigenous art;South Australia;Western Australia;air travel;isPartial
2022-01-01;0;0;47;23;33;False
2022-01-02;0;0;58;20;80;False
2022-01-03;0;0;87;28;53;False
2022-01-04;0;0;53;21;62;False
2022-01-05;0;0;61;25;94;False
2022-01-06;0;0;59;37;72;False
2022-01-07;0;0;56;23;86;False
2022-01-08;0;7;40;36;75;False
2022-01-09;0;0;58;49;58;False
2022-01-10;0;0;36;35;100;False
2022-01-11;0;0;41;26;78;False
2022-01-12;0;0;50;41;86;False
2022-01-13;0;0;54;59;99;False
2022-01-14;0;8;74;35;95;False
2022-01-15;0;0;39;27;89;False
2022-01-16;0;0;91;64;93;False
2022-01-17;0;0;49;32;65;False
2022-01-18;0;0;50;32;78;False
2022-01-19;0;0;50;18;83;False
2022-01-20;0;0;40;97;47;False
2022-01-21;0;0;41;86;44;False
2022-01-22;0;0;57;58;64;False
2022-01-23;0;0;52;71;81;False
2022-01-24;0;0;51;40;88;False
2022-01-25;0;0;14;25;61;False
2022-01-26;0;0;40;29;78;False
2022-01-27;0;0;49;35;67;False
2022-01-28;0;0;50;48;63;False
2022-01-29;0;0;33;35;47;False
2022-01-30;0;0;40;40;86;False
2022-01-31;0;39;41;37;96;False
