date;National curriculum;Curriculums;TV streaming;Surveillance;air travel;isPartial
2022-01-01;14;0;76;20;27;False
2022-01-02;26;0;55;31;52;False
2022-01-03;50;8;46;33;44;False
2022-01-04;100;0;27;45;39;False
2022-01-05;64;0;30;37;66;False
2022-01-06;36;0;27;57;53;False
2022-01-07;46;0;27;54;52;False
2022-01-08;27;0;61;29;51;False
2022-01-09;41;0;70;23;30;False
2022-01-10;78;0;34;46;80;False
2022-01-11;53;0;34;43;55;False
2022-01-12;91;6;35;45;55;False
2022-01-13;48;7;42;48;65;False
2022-01-14;53;0;36;52;62;False
2022-01-15;43;0;44;18;61;False
2022-01-16;35;0;69;45;67;False
2022-01-17;48;0;50;39;40;False
2022-01-18;50;0;32;30;53;False
2022-01-19;59;0;57;36;60;False
2022-01-20;54;0;32;40;38;False
2022-01-21;34;0;30;33;30;False
2022-01-22;38;16;70;24;43;False
2022-01-23;45;0;63;35;54;False
2022-01-24;59;4;48;43;68;False
2022-01-25;66;0;19;50;40;False
2022-01-26;67;9;47;47;52;False
2022-01-27;36;0;32;33;45;False
2022-01-28;41;0;28;35;37;False
2022-01-29;19;6;55;19;48;False
2022-01-30;31;7;60;28;60;False
2022-01-31;61;0;36;35;71;False
